Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
35,2007-11-26,46.77430725097656,48.125632118781716,46.40576637734307,48.125632118781716,20159123
36,2007-11-27,45.62261962890625,47.572829589385215,45.146585996331076,47.572829589385215,20573198
37,2007-11-28,44.946956634521484,46.83574525527763,44.639837075449016,46.62075989769666,16435311
38,2007-11-29,43.73383331298828,46.31363656593201,43.16566134187218,46.06794260491842,25530967
39,2007-11-30,45.422996520996094,45.69940330364595,43.918111446057296,44.53235059220177,18437721
40,2007-12-03,46.06794357299805,46.6361155560538,45.6226185730306,45.97580521150028,16851227
41,2007-12-04,45.469051361083984,46.75895488633768,45.1312190887009,46.37505552353297,14008727
42,2007-12-05,47.28106689453125,47.44998515414579,45.45370798732882,45.54584219033625,27725290
43,2007-12-06,46.40578842163086,49.03165953524653,45.806903489821295,48.30992758720273,24104710
44,2007-12-07,46.206138610839844,47.357836731813435,45.37691846308375,46.69753064223687,11742386
45,2007-12-10,46.252220153808594,46.820388020712805,45.65333533149109,46.65147392496978,8330010
46,2007-12-11,46.03725051879883,46.92789673491642,45.80691076468684,46.66684418047407,11685950
47,2007-12-12,46.00652313232422,46.42113539139043,45.14658998917461,45.453709563953154,16342131
48,2007-12-13,45.23872375488281,46.68218740851715,45.06980965662967,46.06794826494097,14620172
49,2007-12-14,44.79340744018555,45.49978509232279,44.563067716449254,45.08517275648215,10991851
50,2007-12-17,42.09075927734375,45.30016131766804,41.46116148929985,45.05446309590326,19355678
51,2007-12-18,41.906463623046875,43.30385561014638,40.601205814992,41.61469844678124,21607783
52,2007-12-19,41.138671875,43.626340951554525,40.785485241453905,43.25779584185189,19526912
53,2007-12-20,40.724063873291016,42.01396772487502,40.53979129941105,41.67613536702438,17105204
54,2007-12-24,41.967899322509766,42.628205540010306,41.00046938100772,41.33830172839132,16711519
55,2007-12-26,43.242435455322266,43.764540259778066,42.1982300119854,42.1982300119854,20930094
56,2007-12-27,43.549560546875,44.74732589072666,43.18101544157822,44.13308682561553,44565277
57,2007-12-28,43.88739776611328,44.071670339336904,42.996747689795086,43.45742704006627,18354518
58,2007-12-31,44.209861755371094,44.47091416190942,43.67240263361712,44.225220229623226,11982308
59,2008-01-01,45.02374267578125,45.43835497029173,44.02560397242232,44.4402162669328,16687746
60,2008-01-02,44.77803421020508,45.361560430735175,44.11772811419537,45.02372814550991,13437280
61,2008-01-03,46.62075424194336,46.80502678814712,43.96417121136256,44.50163037453802,31815218
62,2008-01-04,46.37506103515625,47.91065866887912,46.06794150841168,47.29641961538997,28011310
63,2008-01-07,45.99116897583008,47.0507290130649,45.4997768214023,46.08330318234586,15858063
64,2008-01-08,44.42485809326172,46.682187797845415,43.88739883815017,46.03723585859639,13282666
65,2008-01-09,43.71848678588867,44.67055843478916,43.61099408647505,44.47093151620754,13113527
66,2008-01-10,42.67426300048828,45.146577386663076,42.38249781966357,43.91809943047426,18023003
67,2008-01-11,43.3192253112793,43.733837555589446,41.614709232576615,43.257799732279395,11629440
68,2008-01-14,43.979530334472656,44.44020966761258,42.70498501256732,43.3960040122772,10264240
69,2008-01-15,42.64356994628906,44.870187271961726,42.29038320360803,44.68591882574664,11558334
70,2008-01-16,41.76826477050781,42.68962336843481,40.708704882236916,42.33643673901118,14834065
71,2008-01-17,42.88925552368164,43.84132693299592,41.03117980304443,41.92182563798667,16169395
72,2008-01-18,40.892974853515625,42.58213217641822,40.53978408081235,42.53606091696997,13254156
73,2008-01-21,33.93673324584961,40.53980641929706,29.56027568763649,40.53980641929706,33202389
74,2008-01-22,30.527687072753906,32.24755717768405,24.24709136927037,30.58911055876123,58755707
75,2008-01-23,33.93673324584961,35.2419918964148,31.019096262233294,31.019096262233294,28425991
76,2008-01-24,34.01350402832031,36.424393721234814,32.401126128454564,35.764087414405026,29911930
77,2008-01-25,35.76408386230469,35.932997959283554,34.32062021955968,35.625878389812335,12550722
78,2008-01-28,36.147972106933594,36.424378800569755,32.40111285585615,35.27268077244035,13601109
79,2008-01-29,35.54910659790039,36.76223083997255,35.0116472288567,36.24012578667085,7679877
80,2008-01-30,33.58351516723633,35.77941801881547,33.138190376138986,35.62585832058513,9016102
81,2008-01-31,31.387624740600586,34.02885360408419,31.01908171106019,33.936717326002174,41538563
